    0 | " "  |  1 | 0.178913
    1 | "e"  |  1 | 0.0954853
    2 | "t"  |  1 | 0.0698377
    3 | "a"  |  1 | 0.0578957
    4 | "o"  |  1 | 0.0573974
    5 | "n"  |  1 | 0.0496929
    6 | "i"  |  1 | 0.0462876
    7 | "s"  |  1 | 0.0446216
    8 | "h"  |  1 | 0.0440764
    9 | "r"  |  1 | 0.0421692
   10 | "d"  |  1 | 0.0350202
   11 | "e " |  2 | 0.0297958
   12 | "l"  |  1 | 0.0289509
   13 | " t" |  2 | 0.0248404
   14 | "u"  |  1 | 0.0224613
   15 | "he" |  2 | 0.0217063
   16 | "th" |  2 | 0.0196668
   17 | "g"  |  1 | 0.0187844
   18 | "c"  |  1 | 0.017947
   19 | "d " |  2 | 0.0176527
   20 | "m"  |  1 | 0.0176489
   21 | "w"  |  1 | 0.017187
   22 | "t " |  2 | 0.0166865
   23 | " a" |  2 | 0.0160201
   24 | "f"  |  1 | 0.0151406
   25 | "in" |  2 | 0.0150552
   26 | "."  |  1 | 0.0145798
   27 | "
"  |  1 | 0.0142373
   28 | "s " |  2 | 0.0141838
   29 | "y"  |  1 | 0.0137139
   30 | "p"  |  1 | 0.0132411
   31 | "er" |  2 | 0.0128507
   32 | " s" |  2 | 0.0124049
   33 | ","  |  1 | 0.0122929
   34 | " w" |  2 | 0.0115576
   35 | ", " |  2 | 0.010952
   36 | "b"  |  1 | 0.0106717
   37 | " h" |  2 | 0.0103385
   38 | "re" |  2 | 0.0101999
   39 | "an" |  2 | 0.0100798
   40 | " o" |  2 | 0.0098888
   41 | "n " |  2 | 0.00947121
   42 | "ed" |  2 | 0.00935813
   43 | "  " |  2 | 0.00932712
   44 | "ou" |  2 | 0.00914572
   45 | "ng" |  2 | 0.0088593
   46 | ". " |  2 | 0.00860017
   47 | "r " |  2 | 0.00829059
   48 | "k"  |  1 | 0.00828946
   49 | "on" |  2 | 0.00802598
   50 | "nd" |  2 | 0.00778101
   51 | "to" |  2 | 0.00776933
   52 | "o " |  2 | 0.00766752
   53 | "at" |  2 | 0.00745438
   54 | "ha" |  2 | 0.00726864
   55 | " b" |  2 | 0.00721117
   56 | "y " |  2 | 0.00713933
   57 | " i" |  2 | 0.00711835
   58 | "

" |  2 | 0.00710997
   59 | " m" |  2 | 0.00688454
   60 | "en" |  2 | 0.00667957
   61 | "g " |  2 | 0.00662685
   62 | "I"  |  1 | 0.00660732
   63 | " c" |  2 | 0.00641113
   64 | "it" |  2 | 0.00628575
   65 | "as" |  2 | 0.00627976
   66 | "’"  |  1 | 0.00620616
   67 | " f" |  2 | 0.00618694
   68 | "v"  |  1 | 0.00612833
   69 | "or" |  2 | 0.00588139
   70 | "st" |  2 | 0.00577141
   71 | "te" |  2 | 0.00570474
   72 | "le" |  2 | 0.00557378
   73 | "ar" |  2 | 0.00529853
   74 | "hi" |  2 | 0.00526886
   75 | "f " |  2 | 0.00508239
   76 | "wa" |  2 | 0.0050735
   77 | "es" |  2 | 0.00499391
   78 | " d" |  2 | 0.00495133
   79 | " I" |  2 | 0.0048952
   80 | "ea" |  2 | 0.00470625
   81 | "me" |  2 | 0.00466563
   82 | "se" |  2 | 0.00454459
   83 | " p" |  2 | 0.00453715
   84 | "nt" |  2 | 0.00452867
   85 | "ne" |  2 | 0.00449136
   86 | "ve" |  2 | 0.00440939
   87 | "“"  |  1 | 0.00439988
   88 | "ti" |  2 | 0.00437156
   89 | "”"  |  1 | 0.00433052
   90 | "ro" |  2 | 0.00432381
   91 | "I " |  2 | 0.00430644
   92 | "is" |  2 | 0.0042745
   93 | "a " |  2 | 0.00425248
   94 | "of" |  2 | 0.00421641
   95 | "al" |  2 | 0.00418726
   96 | ".
" |  2 | 0.0040408
   97 | " l" |  2 | 0.00383521
   98 | "ll" |  2 | 0.00360595
   99 | " g" |  2 | 0.00357432
  100 | "de" |  2 | 0.00349018
  101 | "be" |  2 | 0.00338289
  102 | "h " |  2 | 0.003368
  103 | "ut" |  2 | 0.00335239
  104 | "co" |  2 | 0.0033465
  105 | "et" |  2 | 0.00333338
  106 | "li" |  2 | 0.00330836
  107 | " r" |  2 | 0.00327136
  108 | "id" |  2 | 0.00321017
  109 | "ad" |  2 | 0.00315363
  110 | "T"  |  1 | 0.00313605
  111 | " e" |  2 | 0.00310856
  112 | "we" |  2 | 0.0030822
  113 | "
“" |  2 | 0.00306577
  114 | "ri" |  2 | 0.00303744
  115 | "ta" |  2 | 0.00300892
  116 | "ow" |  2 | 0.00300685
  117 | "l " |  2 | 0.00298866
  118 | "el" |  2 | 0.00298308
  119 | "ai" |  2 | 0.00289914
  120 | "ac" |  2 | 0.00288478
  121 | "ee" |  2 | 0.00288095
  122 | "ke" |  2 | 0.00284467
  123 | "sh" |  2 | 0.0027809
  124 | "om" |  2 | 0.00277666
  125 | "ld" |  2 | 0.00267464
